Id,section,instance_type,instance_category,participant,database,answer,database_type
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Action on target,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Substance effect,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Activity coefficient,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,In vivo data,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,Assay details,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,ChEMBL,References,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,Target,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,Action on target,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,Substance effect,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,Activity coefficient,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,Disease,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,In vivo data,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,Assay details,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,Toxicology,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,Metabolism,Academia
C2075,CPD_biodata,compound,FDA,207,ChEMBL,References,Academia
T2071,TAR_biodata,target,enzyme,207,ChEMBL,Ligand list,Academia
T2071,TAR_biodata,target,enzyme,207,ChEMBL,Target description,Academia
T2071,TAR_biodata,target,enzyme,207,ChEMBL,Classification tree,Academia
T2072,TAR_biodata,target,transporter,207,ChEMBL,Ligand list,Academia
T2072,TAR_biodata,target,transporter,207,ChEMBL,Target description,Academia
T2072,TAR_biodata,target,transporter,207,ChEMBL,Classification tree,Academia
T2073,TAR_biodata,target,nhr,207,ChEMBL,Ligand list,Academia
T2073,TAR_biodata,target,nhr,207,ChEMBL,Target description,Academia
T2073,TAR_biodata,target,nhr,207,ChEMBL,Classification tree,Academia
C2071,CPD_search,compound,PROBE,207,Guide to Pharmacology,Not found,Academia
C2072,CPD_search,compound,PROBE,207,Guide to Pharmacology,Synonym 1,Academia
C2073,CPD_search,compound,CLINICAL_TRIALS,207,Guide to Pharmacology,Not found,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,Guide to Pharmacology,Not found,Academia
C2075,CPD_search,compound,FDA,207,Guide to Pharmacology,Synonym 1,Academia
C2075,CPD_search,compound,FDA,207,Guide to Pharmacology,Synonym 3,Academia
T2071,TAR_search,target,enzyme,207,Guide to Pharmacology,Synonym 1,Academia
T2071,TAR_search,target,enzyme,207,Guide to Pharmacology,Synonym 2,Academia
T2071,TAR_search,target,enzyme,207,Guide to Pharmacology,Synonym 3,Academia
T2071,TAR_search,target,enzyme,207,Guide to Pharmacology,UniprotID,Academia
T2072,TAR_search,target,transporter,207,Guide to Pharmacology,Synonym 1,Academia
T2072,TAR_search,target,transporter,207,Guide to Pharmacology,Synonym 2,Academia
T2072,TAR_search,target,transporter,207,Guide to Pharmacology,Synonym 3,Academia
T2072,TAR_search,target,transporter,207,Guide to Pharmacology,UniprotID,Academia
T2073,TAR_search,target,nhr,207,Guide to Pharmacology,Synonym 1,Academia
T2073,TAR_search,target,nhr,207,Guide to Pharmacology,Synonym 2,Academia
T2073,TAR_search,target,nhr,207,Guide to Pharmacology,Synonym 3,Academia
T2073,TAR_search,target,nhr,207,Guide to Pharmacology,UniprotID,Academia
C2071,CPD_biodata,compound,PROBE,207,Guide to Pharmacology,Not found,Academia
C2072,CPD_biodata,compound,PROBE,207,Guide to Pharmacology,Target,Academia
C2072,CPD_biodata,compound,PROBE,207,Guide to Pharmacology,Action on target,Academia
C2072,CPD_biodata,compound,PROBE,207,Guide to Pharmacology,Substance effect,Academia
C2072,CPD_biodata,compound,PROBE,207,Guide to Pharmacology,Activity coefficient,Academia
C2072,CPD_biodata,compound,PROBE,207,Guide to Pharmacology,References,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,Guide to Pharmacology,Not found,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,Guide to Pharmacology,Not found,Academia
C2075,CPD_biodata,compound,FDA,207,Guide to Pharmacology,Target,Academia
C2075,CPD_biodata,compound,FDA,207,Guide to Pharmacology,Action on target,Academia
C2075,CPD_biodata,compound,FDA,207,Guide to Pharmacology,Substance effect,Academia
C2075,CPD_biodata,compound,FDA,207,Guide to Pharmacology,Activity coefficient,Academia
C2075,CPD_biodata,compound,FDA,207,Guide to Pharmacology,Disease,Academia
C2075,CPD_biodata,compound,FDA,207,Guide to Pharmacology,References,Academia
T2071,TAR_biodata,target,enzyme,207,Guide to Pharmacology,Ligand list,Academia
T2071,TAR_biodata,target,enzyme,207,Guide to Pharmacology,Target description,Academia
T2071,TAR_biodata,target,enzyme,207,Guide to Pharmacology,Classification tree,Academia
T2072,TAR_biodata,target,transporter,207,Guide to Pharmacology,Ligand list,Academia
T2072,TAR_biodata,target,transporter,207,Guide to Pharmacology,Target description,Academia
T2072,TAR_biodata,target,transporter,207,Guide to Pharmacology,Classification tree,Academia
T2073,TAR_biodata,target,nhr,207,Guide to Pharmacology,Ligand list,Academia
T2073,TAR_biodata,target,nhr,207,Guide to Pharmacology,Target description,Academia
T2073,TAR_biodata,target,nhr,207,Guide to Pharmacology,Classification tree,Academia
C2071,CPD_search,compound,PROBE,207,Probes and Drugs,Not found,Academia
C2072,CPD_search,compound,PROBE,207,Probes and Drugs,Not found,Academia
C2073,CPD_search,compound,CLINICAL_TRIALS,207,Probes and Drugs,Not found,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,Probes and Drugs,Not found,Academia
C2075,CPD_search,compound,FDA,207,Probes and Drugs,Not found,Academia
T2071,TAR_search,target,enzyme,207,Probes and Drugs,Not found,Academia
T2072,TAR_search,target,transporter,207,Probes and Drugs,Not found,Academia
T2073,TAR_search,target,nhr,207,Probes and Drugs,Not found,Academia
C2071,CPD_biodata,compound,PROBE,207,Probes and Drugs,Not found,Academia
C2072,CPD_biodata,compound,PROBE,207,Probes and Drugs,Not found,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,Probes and Drugs,Not found,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,Probes and Drugs,Not found,Academia
C2075,CPD_biodata,compound,FDA,207,Probes and Drugs,Not found,Academia
T2071,TAR_biodata,target,enzyme,207,Probes and Drugs,Not found,Academia
T2072,TAR_biodata,target,transporter,207,Probes and Drugs,Not found,Academia
T2073,TAR_biodata,target,nhr,207,Probes and Drugs,Not found,Academia
C2071,CPD_search,compound,PROBE,207,DrugBank,Not found,Academia
C2072,CPD_search,compound,PROBE,207,DrugBank,Not found,Academia
C2073,CPD_search,compound,CLINICAL_TRIALS,207,DrugBank,Not found,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,DrugBank,Synonym 1,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,DrugBank,Synonym 2,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,DrugBank,CAS number,Academia
C2074,CPD_search,compound,CLINICAL_TRIALS,207,DrugBank,Structure search,Academia
C2075,CPD_search,compound,FDA,207,DrugBank,Synonym 1,Academia
C2075,CPD_search,compound,FDA,207,DrugBank,Synonym 3,Academia
C2075,CPD_search,compound,FDA,207,DrugBank,Structure search,Academia
T2071,TAR_search,target,enzyme,207,DrugBank,Synonym 1,Academia
T2071,TAR_search,target,enzyme,207,DrugBank,Synonym 2,Academia
T2071,TAR_search,target,enzyme,207,DrugBank,Synonym 3,Academia
T2071,TAR_search,target,enzyme,207,DrugBank,UniprotID,Academia
T2072,TAR_search,target,transporter,207,DrugBank,Synonym 1,Academia
T2072,TAR_search,target,transporter,207,DrugBank,Synonym 2,Academia
T2072,TAR_search,target,transporter,207,DrugBank,Synonym 3,Academia
T2072,TAR_search,target,transporter,207,DrugBank,UniprotID,Academia
T2073,TAR_search,target,nhr,207,DrugBank,Synonym 1,Academia
T2073,TAR_search,target,nhr,207,DrugBank,Synonym 2,Academia
T2073,TAR_search,target,nhr,207,DrugBank,UniprotID,Academia
C2071,CPD_biodata,compound,PROBE,207,DrugBank,Not found,Academia
C2072,CPD_biodata,compound,PROBE,207,DrugBank,Not found,Academia
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,DrugBank,Not found,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,DrugBank,Target,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,DrugBank,Action on target,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,DrugBank,Substance effect,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,DrugBank,In vivo data,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,DrugBank,Toxicology,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,DrugBank,Metabolism,Academia
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,DrugBank,References,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,Other form,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,Target,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,Action on target,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,Substance effect,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,Activity coefficient,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,Disease,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,In vivo data,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,Toxicology,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,Metabolism,Academia
C2075,CPD_biodata,compound,FDA,207,DrugBank,References,Academia
T2071,TAR_biodata,target,enzyme,207,DrugBank,Ligand list,Academia
T2071,TAR_biodata,target,enzyme,207,DrugBank,Target description,Academia
T2071,TAR_biodata,target,enzyme,207,DrugBank,Classification tree,Academia
T2071,TAR_biodata,target,enzyme,207,DrugBank,Disease,Academia
T2072,TAR_biodata,target,transporter,207,DrugBank,Ligand list,Academia
T2072,TAR_biodata,target,transporter,207,DrugBank,Target description,Academia
T2072,TAR_biodata,target,transporter,207,DrugBank,Classification tree,Academia
T2073,TAR_biodata,target,nhr,207,DrugBank,Ligand list,Academia
T2073,TAR_biodata,target,nhr,207,DrugBank,Target description,Academia
T2073,TAR_biodata,target,nhr,207,DrugBank,Classification tree,Academia
C2071,CPD_search,compound,PROBE,207,TargetMol,Synonym 1,Vendor
C2071,CPD_search,compound,PROBE,207,TargetMol,CAS number,Vendor
C2072,CPD_search,compound,PROBE,207,TargetMol,Synonym 1,Vendor
C2072,CPD_search,compound,PROBE,207,TargetMol,CAS number,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,TargetMol,Synonym 1,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,TargetMol,Synonym 2,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,TargetMol,CAS number,Vendor
C2074,CPD_search,compound,CLINICAL_TRIALS,207,TargetMol,Synonym 1,Vendor
C2074,CPD_search,compound,CLINICAL_TRIALS,207,TargetMol,CAS number,Vendor
C2075,CPD_search,compound,FDA,207,TargetMol,Synonym 1,Vendor
C2075,CPD_search,compound,FDA,207,TargetMol,CAS number,Vendor
T2071,TAR_search,target,enzyme,207,TargetMol,Synonym 1,Vendor
T2072,TAR_search,target,transporter,207,TargetMol,Not found,Vendor
T2073,TAR_search,target,nhr,207,TargetMol,Synonym 1,Vendor
C2071,CPD_biodata,compound,PROBE,207,TargetMol,Target,Vendor
C2071,CPD_biodata,compound,PROBE,207,TargetMol,Action on target,Vendor
C2071,CPD_biodata,compound,PROBE,207,TargetMol,Substance effect,Vendor
C2071,CPD_biodata,compound,PROBE,207,TargetMol,Activity coefficient,Vendor
C2071,CPD_biodata,compound,PROBE,207,TargetMol,In vivo data,Vendor
C2071,CPD_biodata,compound,PROBE,207,TargetMol,References,Vendor
C2072,CPD_biodata,compound,PROBE,207,TargetMol,Target,Vendor
C2072,CPD_biodata,compound,PROBE,207,TargetMol,Action on target,Vendor
C2072,CPD_biodata,compound,PROBE,207,TargetMol,Substance effect,Vendor
C2072,CPD_biodata,compound,PROBE,207,TargetMol,Activity coefficient,Vendor
C2072,CPD_biodata,compound,PROBE,207,TargetMol,Disease,Vendor
C2072,CPD_biodata,compound,PROBE,207,TargetMol,In vivo data,Vendor
C2072,CPD_biodata,compound,PROBE,207,TargetMol,Assay details,Vendor
C2072,CPD_biodata,compound,PROBE,207,TargetMol,References,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Target,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Action on target,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Substance effect,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Activity coefficient,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,In vivo data,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Assay details,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,References,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Target,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Action on target,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Substance effect,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,Activity coefficient,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,In vivo data,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,TargetMol,References,Vendor
C2075,CPD_biodata,compound,FDA,207,TargetMol,Substance effect,Vendor
C2075,CPD_biodata,compound,FDA,207,TargetMol,References,Vendor
T2071,TAR_biodata,target,enzyme,207,TargetMol,Ligand list,Vendor
T2071,TAR_biodata,target,enzyme,207,TargetMol,Target description,Vendor
T2072,TAR_biodata,target,transporter,207,TargetMol,Not found,Vendor
T2073,TAR_biodata,target,nhr,207,TargetMol,Ligand list,Vendor
T2073,TAR_biodata,target,nhr,207,TargetMol,Target description,Vendor
C2071,CPD_search,compound,PROBE,207,MedChemExpress,Synonym 1,Vendor
C2071,CPD_search,compound,PROBE,207,MedChemExpress,CAS number,Vendor
C2072,CPD_search,compound,PROBE,207,MedChemExpress,Synonym 1,Vendor
C2072,CPD_search,compound,PROBE,207,MedChemExpress,CAS number,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,MedChemExpress,Synonym 1,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,MedChemExpress,Synonym 2,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,MedChemExpress,CAS number,Vendor
C2074,CPD_search,compound,CLINICAL_TRIALS,207,MedChemExpress,Synonym 1,Vendor
C2074,CPD_search,compound,CLINICAL_TRIALS,207,MedChemExpress,CAS number,Vendor
C2075,CPD_search,compound,FDA,207,MedChemExpress,Not found,Vendor
T2071,TAR_search,target,enzyme,207,MedChemExpress,Synonym 1,Vendor
T2071,TAR_search,target,enzyme,207,MedChemExpress,Synonym 2,Vendor
T2071,TAR_search,target,enzyme,207,MedChemExpress,Synonym 3,Vendor
T2072,TAR_search,target,transporter,207,MedChemExpress,Not found,Vendor
T2073,TAR_search,target,nhr,207,MedChemExpress,Synonym 1,Vendor
T2073,TAR_search,target,nhr,207,MedChemExpress,Synonym 2,Vendor
T2073,TAR_search,target,nhr,207,MedChemExpress,Not found,Vendor
C2071,CPD_biodata,compound,PROBE,207,MedChemExpress,Target,Vendor
C2071,CPD_biodata,compound,PROBE,207,MedChemExpress,Action on target,Vendor
C2071,CPD_biodata,compound,PROBE,207,MedChemExpress,Activity coefficient,Vendor
C2071,CPD_biodata,compound,PROBE,207,MedChemExpress,In vivo data,Vendor
C2071,CPD_biodata,compound,PROBE,207,MedChemExpress,Assay details,Vendor
C2071,CPD_biodata,compound,PROBE,207,MedChemExpress,References,Vendor
C2072,CPD_biodata,compound,PROBE,207,MedChemExpress,Target,Vendor
C2072,CPD_biodata,compound,PROBE,207,MedChemExpress,Action on target,Vendor
C2072,CPD_biodata,compound,PROBE,207,MedChemExpress,Activity coefficient,Vendor
C2072,CPD_biodata,compound,PROBE,207,MedChemExpress,In vivo data,Vendor
C2072,CPD_biodata,compound,PROBE,207,MedChemExpress,Assay details,Vendor
C2072,CPD_biodata,compound,PROBE,207,MedChemExpress,References,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,Target,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,Action on target,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,Activity coefficient,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,In vivo data,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,Assay details,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,References,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,Target,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,Action on target,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,Substance effect,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,Activity coefficient,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,In vivo data,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,MedChemExpress,References,Vendor
C2075,CPD_biodata,compound,FDA,207,MedChemExpress,Not found,Vendor
T2071,TAR_biodata,target,enzyme,207,MedChemExpress,Target family page,Vendor
T2071,TAR_biodata,target,enzyme,207,MedChemExpress,Ligand list,Vendor
T2071,TAR_biodata,target,enzyme,207,MedChemExpress,Target description,Vendor
T2071,TAR_biodata,target,enzyme,207,MedChemExpress,Classification tree,Vendor
T2071,TAR_biodata,target,enzyme,207,MedChemExpress,Disease,Vendor
T2072,TAR_biodata,target,transporter,207,MedChemExpress,Not found,Vendor
T2073,TAR_biodata,target,nhr,207,MedChemExpress,Ligand list,Vendor
T2073,TAR_biodata,target,nhr,207,MedChemExpress,Target description,Vendor
T2073,TAR_biodata,target,nhr,207,MedChemExpress,Classification tree,Vendor
T2073,TAR_biodata,target,nhr,207,MedChemExpress,Disease,Vendor
C2071,CPD_search,compound,PROBE,207,SelleckChem,Synonym 1,Vendor
C2071,CPD_search,compound,PROBE,207,SelleckChem,CAS number,Vendor
C2072,CPD_search,compound,PROBE,207,SelleckChem,Not found,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,SelleckChem,Synonym 1,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,SelleckChem,Synonym 2,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,SelleckChem,CAS number,Vendor
C2074,CPD_search,compound,CLINICAL_TRIALS,207,SelleckChem,Not found,Vendor
C2075,CPD_search,compound,FDA,207,SelleckChem,Synonym 1,Vendor
C2075,CPD_search,compound,FDA,207,SelleckChem,Synonym 3,Vendor
C2075,CPD_search,compound,FDA,207,SelleckChem,CAS number,Vendor
T2071,TAR_search,target,enzyme,207,SelleckChem,Not found,Vendor
T2072,TAR_search,target,transporter,207,SelleckChem,Not found,Vendor
T2073,TAR_search,target,nhr,207,SelleckChem,Not found,Vendor
C2071,CPD_biodata,compound,PROBE,207,SelleckChem,Target,Vendor
C2071,CPD_biodata,compound,PROBE,207,SelleckChem,Action on target,Vendor
C2071,CPD_biodata,compound,PROBE,207,SelleckChem,Activity coefficient,Vendor
C2071,CPD_biodata,compound,PROBE,207,SelleckChem,Disease,Vendor
C2071,CPD_biodata,compound,PROBE,207,SelleckChem,In vivo data,Vendor
C2071,CPD_biodata,compound,PROBE,207,SelleckChem,Assay details,Vendor
C2071,CPD_biodata,compound,PROBE,207,SelleckChem,References,Vendor
C2072,CPD_biodata,compound,PROBE,207,SelleckChem,Not found,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,SelleckChem,Target,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,SelleckChem,Action on target,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,SelleckChem,Substance effect,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,SelleckChem,References,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,SelleckChem,Not found,Vendor
C2075,CPD_biodata,compound,FDA,207,SelleckChem,Target,Vendor
C2075,CPD_biodata,compound,FDA,207,SelleckChem,Action on target,Vendor
C2075,CPD_biodata,compound,FDA,207,SelleckChem,Substance effect,Vendor
T2071,TAR_biodata,target,enzyme,207,SelleckChem,Not found,Vendor
T2072,TAR_biodata,target,transporter,207,SelleckChem,Not found,Vendor
T2073,TAR_biodata,target,nhr,207,SelleckChem,Not found,Vendor
C2071,CPD_search,compound,PROBE,207,Toronto Research Chemicals,Synonym 2,Vendor
C2071,CPD_search,compound,PROBE,207,Toronto Research Chemicals,CAS number,Vendor
C2072,CPD_search,compound,PROBE,207,Toronto Research Chemicals,Synonym 1,Vendor
C2072,CPD_search,compound,PROBE,207,Toronto Research Chemicals,CAS number,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,Synonym 1,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,Synonym 2,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,Synonym 3,Vendor
C2073,CPD_search,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,CAS number,Vendor
C2074,CPD_search,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,Synonym 1,Vendor
C2074,CPD_search,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,Synonym 3,Vendor
C2074,CPD_search,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,CAS number,Vendor
C2075,CPD_search,compound,FDA,207,Toronto Research Chemicals,Synonym 1,Vendor
C2075,CPD_search,compound,FDA,207,Toronto Research Chemicals,Synonym 3,Vendor
C2075,CPD_search,compound,FDA,207,Toronto Research Chemicals,CAS number,Vendor
T2071,TAR_search,target,enzyme,207,Toronto Research Chemicals,Not found,Vendor
T2072,TAR_search,target,transporter,207,Toronto Research Chemicals,Not found,Vendor
T2073,TAR_search,target,nhr,207,Toronto Research Chemicals,Not found,Vendor
C2071,CPD_biodata,compound,PROBE,207,Toronto Research Chemicals,Target,Vendor
C2071,CPD_biodata,compound,PROBE,207,Toronto Research Chemicals,Action on target,Vendor
C2071,CPD_biodata,compound,PROBE,207,Toronto Research Chemicals,References,Vendor
C2072,CPD_biodata,compound,PROBE,207,Toronto Research Chemicals,Not found,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,Target,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,Action on target,Vendor
C2073,CPD_biodata,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,References,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,Toxicology,Vendor
C2074,CPD_biodata,compound,CLINICAL_TRIALS,207,Toronto Research Chemicals,References,Vendor
C2075,CPD_biodata,compound,FDA,207,Toronto Research Chemicals,Substance effect,Vendor
C2075,CPD_biodata,compound,FDA,207,Toronto Research Chemicals,References,Vendor
